,pred
0,120.7140963602521
1,163.24340657699753
2,245.70545312712784
3,312.06205246227034
4,358.9090559130185
5,378.4274933103115
6,353.86176705763125
7,329.2174827485991
8,325.1971798016578
9,333.4286332216184
10,347.9665173888593
11,350.2304054709272
12,424.4048601297924
13,465.5630481795756
14,469.69693088987987
15,412.57646671249756
16,335.78388163352804
17,247.08873259824722
18,192.4247040404494
19,123.26484293215151
20,132.91005315451372
21,117.83403304399955
22,80.22819587591303
23,72.8272347376818
24,51.12192296171648
25,101.50951871490412
26,180.21430221890702
27,248.70559568651788
28,280.8886243838397
29,273.8880359107352
30,249.90310434436066
31,265.63543435959906
32,254.54896337811476
33,236.33125438947675
34,256.67311352774306
35,330.1951918897751
36,374.381921948763
37,424.5305681460461
38,460.4239448770178
39,431.4071821111239
40,349.92402812924684
41,270.1404445214636
42,189.97590217885906
43,197.00577787128296
44,185.07966494032212
45,155.72592225570384
46,124.14135608753121
47,92.47861465965394
48,85.46969969123106
49,111.75103945826362
50,195.3540825593938
51,264.58287856594467
52,317.75850666330007
53,323.02520253887025
54,303.15825520495076
55,286.5683238945837
56,279.2257503773007
57,296.89208243287123
58,309.67980427380735
59,387.55689131336544
60,429.0659845076617
61,489.6755618028741
62,482.2807455116853
63,431.77475129352734
64,347.7810387030016
65,265.87480783517736
66,221.29715026620758
67,208.479084208241
68,206.44256248451205
69,184.19104315873236
70,126.68756244998126
71,125.40243787012503
72,67.15300287261456
73,107.63156964350827
74,240.72603022361878
75,321.48745414819973
76,351.68633680584577
77,332.9814207333608
78,326.9770480403427
79,317.5035809577761
80,289.3221580358776
81,288.16670254888834
82,340.632172694366
83,362.7431251611084
84,381.5603245076145
85,405.9365007530947
86,417.89092692037997
87,387.4523927957729
88,315.3954735295875
89,240.07510362775957
90,183.48989973602448
91,192.6763688486716
92,197.73763613656075
93,181.83058282387609
94,152.7946512838035
95,92.56058972437552
96,92.93454419648859
97,144.26864678408293
98,223.83810005354013
99,324.28552350964173
100,365.9930052895506
101,356.90014524515834
102,342.4507731979551
103,326.3508164173758
104,334.0049577936971
105,343.9160280838772
106,362.7344578089321
107,394.69905151206956
108,436.86295025413995
109,483.4777579706588
110,489.86124948575855
111,445.8007112674455
112,333.6921358469691
113,224.39211692495778
114,201.60172282213716
115,188.604293916075
116,207.82891161084035
117,198.52739049961394
118,145.57476093701155
119,104.15515119879126
120,111.7410991283804
121,158.84538661101317
122,237.56019533263265
123,303.97052910348833
124,341.08592747569764
125,331.87844591311824
126,347.2246363033041
127,328.0959962892134
128,341.10984971329526
129,350.7828580600934
130,371.17625603216123
131,405.4092222424862
132,460.08495351276235
133,491.9565467596301
134,508.4164845404459
135,463.4228416685851
136,381.9529574702476
137,304.39411330144077
138,242.71875600039087
139,222.09479101047233
140,201.81638372180106
141,192.42157772804399
142,156.02023276456472
143,122.27391883494457
144,124.38487693831308
145,175.45745579439023
146,253.3214578659977
147,300.51723335794725
148,368.96668722641334
149,354.06510737968665
150,342.2473059185372
151,332.44621217609324
152,338.19202232843554
153,351.38190015944383
154,367.89923956181656
155,398.5229265410396
156,456.2627254241164
157,475.8900247493219
158,486.176627237855
159,436.4299254355004
160,367.30125266384135
161,280.45368830625006
162,239.97389330297014
163,227.74242983578102
164,209.9279401071646
165,211.45588241548552
166,173.66322155109287
167,143.465168775903
168,131.77958312041056
169,181.81615458215467
170,261.3528711582729
171,324.4284030841576
172,359.89291342240125
173,355.20866201959205
174,338.7207165885973
175,333.2959768728325
176,327.93220268919316
177,344.06826756868963
178,357.5425887003731
179,394.3310908572745
180,439.60709128249346
181,482.491587441727
182,484.7547126696138
183,451.28782685147627
184,371.7476847947282
185,206.0225741711417
186,155.32033871938103
187,136.3923128873505
188,182.55103153797518
189,147.79449723072406
190,131.5909740755684
191,113.60999676584561
192,109.55159664949181
193,159.93919240152877
194,244.74437535544754
195,312.8091904530176
196,361.96757452506705
197,367.28383359089736
198,341.64917047991435
199,317.5921282767097
200,321.7065547671155
201,333.4365972582067
202,351.087005627315
